"county_name","FIPS","year","median_income","pct_poverty","pct_college"
"Adams",39001,2003,34282,23.14,10.65
"Adams",39001,2004,34282,23.14,10.65
"Adams",39001,2005,34282,23.14,10.65
"Adams",39001,2006,34282,23.14,10.65
"Adams",39001,2007,34282,23.14,10.65
"Adams",39001,2008,34282,23.14,10.65
"Adams",39001,2009,34282,23.14,10.65
"Adams",39001,2010,34282,23.14,10.65
"Adams",39001,2011,34282,23.14,10.65
"Adams",39001,2012,34282,23.14,10.65
"Adams",39001,2013,35678,22.74,10.58
"Adams",39001,2014,34733,25.27,9.75
"Adams",39001,2015,35560,24.62,10.51
"Adams",39001,2016,34709,24.48,10.89
"Adams",39001,2017,36320,23.78,12.13
"Adams",39001,2018,36894,22.64,12.88
"Adams",39001,2019,39079,20.66,13.18
"Adams",39001,2020,40067,20.23,15.52
"Adams",39001,2021,44467,19.23,15.96
"Adams",39001,2022,46234,19.64,15.22
"Adams",39001,2023,49521,20.33,14.25
"Adams",39001,2024,49521,20.33,14.25
"Allen",39003,2003,43194,18.8,16.49
"Allen",39003,2004,43194,18.8,16.49
"Allen",39003,2005,43194,18.8,16.49
"Allen",39003,2006,43194,18.8,16.49
"Allen",39003,2007,43194,18.8,16.49
"Allen",39003,2008,43194,18.8,16.49
"Allen",39003,2009,43194,18.8,16.49
"Allen",39003,2010,43194,18.8,16.49
"Allen",39003,2011,43194,18.8,16.49
"Allen",39003,2012,43194,18.8,16.49
"Allen",39003,2013,42823,18.55,17.2
"Allen",39003,2014,43648,18.35,17.21
"Allen",39003,2015,44103,17.47,17.36
"Allen",39003,2016,45575,16.12,17.39
"Allen",39003,2017,47905,15.05,17.69
"Allen",39003,2018,50552,14.83,17.85
"Allen",39003,2019,53131,13.93,18.93
"Allen",39003,2020,51892,12.88,18.65
"Allen",39003,2021,55114,13.03,19.12
"Allen",39003,2022,58976,12.33,19.14
"Allen",39003,2023,62001,13.11,19.93
"Allen",39003,2024,62001,13.11,19.93
"Ashland",39005,2003,44996,16.28,19.2
"Ashland",39005,2004,44996,16.28,19.2
"Ashland",39005,2005,44996,16.28,19.2
"Ashland",39005,2006,44996,16.28,19.2
"Ashland",39005,2007,44996,16.28,19.2
"Ashland",39005,2008,44996,16.28,19.2
"Ashland",39005,2009,44996,16.28,19.2
"Ashland",39005,2010,44996,16.28,19.2
"Ashland",39005,2011,44996,16.28,19.2
"Ashland",39005,2012,44996,16.28,19.2
"Ashland",39005,2013,46548,16.27,19.29
"Ashland",39005,2014,47034,15.38,19.73
"Ashland",39005,2015,48003,14.86,20.4
"Ashland",39005,2016,48509,15.4,19.64
"Ashland",39005,2017,50893,14.19,20.2
"Ashland",39005,2018,52730,13.27,21.08
"Ashland",39005,2019,52823,13.8,20.95
"Ashland",39005,2020,55422,12.55,21.99
"Ashland",39005,2021,58168,12.38,22.2
"Ashland",39005,2022,62254,11.74,21.9
"Ashland",39005,2023,64991,13.78,22.06
"Ashland",39005,2024,64991,13.78,22.06
"Ashtabula",39007,2003,41075,18,13.02
"Ashtabula",39007,2004,41075,18,13.02
"Ashtabula",39007,2005,41075,18,13.02
"Ashtabula",39007,2006,41075,18,13.02
"Ashtabula",39007,2007,41075,18,13.02
"Ashtabula",39007,2008,41075,18,13.02
"Ashtabula",39007,2009,41075,18,13.02
"Ashtabula",39007,2010,41075,18,13.02
"Ashtabula",39007,2011,41075,18,13.02
"Ashtabula",39007,2012,41075,18,13.02
"Ashtabula",39007,2013,40516,18.75,12.65
"Ashtabula",39007,2014,40304,19.02,13.37
"Ashtabula",39007,2015,40544,20.06,13.31
"Ashtabula",39007,2016,41158,19.6,13.12
"Ashtabula",39007,2017,43017,19.81,13.38
"Ashtabula",39007,2018,44823,20.27,14.11
"Ashtabula",39007,2019,46700,19.89,14.28
"Ashtabula",39007,2020,47925,19.23,14.93
"Ashtabula",39007,2021,49680,18.9,15.08
"Ashtabula",39007,2022,53663,18.01,15.68
"Ashtabula",39007,2023,55507,18.27,15.97
"Ashtabula",39007,2024,55507,18.27,15.97
"Athens",39009,2003,33836,32.19,28.33
"Athens",39009,2004,33836,32.19,28.33
"Athens",39009,2005,33836,32.19,28.33
"Athens",39009,2006,33836,32.19,28.33
"Athens",39009,2007,33836,32.19,28.33
"Athens",39009,2008,33836,32.19,28.33
